,Real,Pred
0,0,4
1,2,1
2,4,4
3,1,4
4,3,3
5,0,4
6,4,3
7,0,0
8,2,0
9,0,4
10,1,4
11,0,0
12,4,4
13,0,2
14,0,0
15,3,1
16,0,1
17,1,4
18,1,4
19,0,0
20,1,3
21,3,2
22,2,0
23,1,4
24,0,3
25,0,4
26,0,4
27,1,3
28,0,2
29,0,2
30,0,0
31,0,3
32,0,1
33,0,1
34,1,4
35,0,0
36,0,1
37,1,3
38,2,0
39,0,1
40,0,1
41,2,2
42,0,4
0,4,0
1,4,0
2,4,1
3,3,0
4,3,4
5,3,0
6,1,2
7,3,2
8,0,1
9,0,0
10,1,0
11,1,1
12,2,2
13,0,4
14,1,0
15,1,0
16,2,4
17,0,2
18,0,2
19,0,1
20,1,1
21,0,0
22,0,2
23,2,0
24,1,0
25,0,0
26,0,0
27,1,1
28,0,2
29,1,2
30,0,0
31,0,0
32,0,0
33,0,0
34,0,1
35,0,1
36,0,0
37,0,0
38,0,1
39,2,0
40,0,0
41,0,3
42,0,1
0,4,0
1,4,0
2,4,0
3,3,0
4,3,0
5,3,0
6,3,1
7,1,0
8,1,0
9,1,0
10,2,0
11,1,1
12,2,1
13,1,3
14,2,1
15,1,0
16,1,0
17,2,0
18,1,0
19,1,0
20,0,0
21,0,1
22,0,0
23,0,0
24,0,0
25,0,0
26,0,1
27,0,0
28,0,0
29,0,0
30,0,0
31,0,3
32,0,0
33,0,0
34,0,0
35,0,1
36,0,0
37,0,2
38,0,0
39,0,3
40,0,0
41,0,2
42,0,2
0,4,0
1,4,0
2,4,0
3,3,2
4,3,3
5,1,2
6,1,0
7,1,0
8,1,0
9,3,0
10,1,0
11,1,0
12,2,0
13,2,1
14,1,0
15,1,0
16,2,0
17,0,2
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,1,3
32,0,0
33,0,0
34,0,1
35,0,1
36,2,0
37,0,1
38,0,0
39,0,0
40,2,0
41,0,0
0,4,0
1,3,0
2,3,2
3,3,0
4,4,1
5,1,0
6,1,0
7,2,0
8,0,0
9,0,0
10,0,0
11,2,0
12,1,0
13,0,0
14,0,0
15,0,0
16,1,0
17,0,0
18,2,0
19,0,0
20,0,0
21,0,0
22,1,0
23,1,0
24,0,0
25,2,3
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,1,2
33,0,0
34,0,0
35,1,0
36,4,0
37,0,0
38,1,0
39,2,3
40,0,0
41,0,0
